code,alias
M30.3,Kawasaki
M30.3,bệnh Kawasaki
M30.3,hội chứng Kawasaki
G20.C,hội chứng Parkinson
G20.C,Parkinson
A08.4,viêm dạ dày ruột do virus
A08.4,viêm dạ dày ruột virus
A08.4,viêm ruột do virus
K26.9,loét tá tràng
K26.9,viêm loét tá tràng
D55.0,thiếu men G6PD
D55.0,thiếu G6PD
D55.0,thiếu hụt glucose-6-phosphate dehydrogenase
N20.0,sỏi thận
N20.0,sỏi trong thận
K29.70,viêm bao tử
K29.70,viêm dạ dày
C73,ung thư tuyến giáp
N97.9,vô sinh
K58.9,hội chứng ruột kích thích
K58.9,ruột kích thích
E28.2,hội chứng buồng trứng đa nang
E28.2,buồng trứng đa nang
E28.2,PCOS
F10.2,hội chứng nghiện rượu
F10.2,nghiện rượu
F10.2,lệ thuộc rượu
I70.9,xơ vữa động mạch
C22.1,ung thư biểu mô tế bào mật
C22.1,ung thư đường mật trong gan
C22.1,cholangiocarcinoma
