code,name,parent_code,level,aliases
ROOT,ICD-10-CM,,0,
CHAPTER_1,Certain infectious and parasitic diseases (A00-B99),ROOT,1,
SECTION_A00-A09,Intestinal infectious diseases (A00-A09),CHAPTER_1,2,
A00,Cholera,SECTION_A00-A09,3,
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",A00,4,Classical cholera
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",A00,4,Cholera eltor
A00.9,"Cholera, unspecified",A00,4,
A01,Typhoid and paratyphoid fevers,SECTION_A00-A09,3,
A01.0,Typhoid fever,A01,4,Infection due to Salmonella typhi
A01.00,"Typhoid fever, unspecified",A01.0,5,
A01.01,Typhoid meningitis,A01.0,5,
A01.02,Typhoid fever with heart involvement,A01.0,5,Typhoid endocarditis|Typhoid myocarditis
A01.03,Typhoid pneumonia,A01.0,5,
A01.04,Typhoid arthritis,A01.0,5,
A01.05,Typhoid osteomyelitis,A01.0,5,
A01.09,Typhoid fever with other complications,A01.0,5,
A01.1,Paratyphoid fever A,A01,4,
A01.2,Paratyphoid fever B,A01,4,
A01.3,Paratyphoid fever C,A01,4,
A01.4,"Paratyphoid fever, unspecified",A01,4,Infection due to Salmonella paratyphi NOS
A02,Other salmonella infections,SECTION_A00-A09,3,
A02.0,Salmonella enteritis,A02,4,Salmonellosis
A02.1,Salmonella sepsis,A02,4,
A02.2,Localized salmonella infections,A02,4,
A02.20,"Localized salmonella infection, unspecified",A02.2,5,
A02.21,Salmonella meningitis,A02.2,5,
A02.22,Salmonella pneumonia,A02.2,5,
A02.23,Salmonella arthritis,A02.2,5,
A02.24,Salmonella osteomyelitis,A02.2,5,
A02.25,Salmonella pyelonephritis,A02.2,5,Salmonella tubulo-interstitial nephropathy
A02.29,Salmonella with other localized infection,A02.2,5,
A02.8,Other specified salmonella infections,A02,4,
A02.9,"Salmonella infection, unspecified",A02,4,
A03,Shigellosis,SECTION_A00-A09,3,
A03.0,Shigellosis due to Shigella dysenteriae,A03,4,Group A shigellosis [Shiga-Kruse dysentery]
A03.1,Shigellosis due to Shigella flexneri,A03,4,Group B shigellosis
A03.2,Shigellosis due to Shigella boydii,A03,4,Group C shigellosis
A03.3,Shigellosis due to Shigella sonnei,A03,4,Group D shigellosis
A03.8,Other shigellosis,A03,4,
A03.9,"Shigellosis, unspecified",A03,4,Bacillary dysentery NOS
A04,Other bacterial intestinal infections,SECTION_A00-A09,3,
A04.0,Enteropathogenic Escherichia coli infection,A04,4,
A04.1,Enterotoxigenic Escherichia coli infection,A04,4,
A04.2,Enteroinvasive Escherichia coli infection,A04,4,
A04.3,Enterohemorrhagic Escherichia coli infection,A04,4,
A04.4,Other intestinal Escherichia coli infections,A04,4,Escherichia coli enteritis NOS
A04.5,Campylobacter enteritis,A04,4,
A04.6,Enteritis due to Yersinia enterocolitica,A04,4,
A04.7,Enterocolitis due to Clostridium difficile,A04,4,Clostridioides difficile colitis|Foodborne intoxication by Clostridium difficile|Pseudomembraneous colitis
A04.71,"Enterocolitis due to Clostridium difficile, recurrent",A04.7,5,
A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent",A04.7,5,
A04.8,Other specified bacterial intestinal infections,A04,4,
A04.9,"Bacterial intestinal infection, unspecified",A04,4,Bacterial enteritis NOS
A05,"Other bacterial foodborne intoxications, not elsewhere classified",SECTION_A00-A09,3,
A05.0,Foodborne staphylococcal intoxication,A05,4,
A05.1,Botulism food poisoning,A05,4,Botulism NOS|Classical foodborne intoxication due to Clostridium botulinum
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A05,4,Enteritis necroticans|Pig-bel
A05.3,Foodborne Vibrio parahaemolyticus intoxication,A05,4,
A05.4,Foodborne Bacillus cereus intoxication,A05,4,
A05.5,Foodborne Vibrio vulnificus intoxication,A05,4,
A05.8,Other specified bacterial foodborne intoxications,A05,4,
A05.9,"Bacterial foodborne intoxication, unspecified",A05,4,
A06,Amebiasis,SECTION_A00-A09,3,
A06.0,Acute amebic dysentery,A06,4,Acute amebiasis|Intestinal amebiasis NOS
A06.1,Chronic intestinal amebiasis,A06,4,
A06.2,Amebic nondysenteric colitis,A06,4,
A06.3,Ameboma of intestine,A06,4,Ameboma NOS
A06.4,Amebic liver abscess,A06,4,Hepatic amebiasis
A06.5,Amebic lung abscess,A06,4,Amebic abscess of lung (and liver)
A06.6,Amebic brain abscess,A06,4,Amebic abscess of brain (and liver) (and lung)
A06.7,Cutaneous amebiasis,A06,4,
A06.8,Amebic infection of other sites,A06,4,
A06.81,Amebic cystitis,A06.8,5,
A06.82,Other amebic genitourinary infections,A06.8,5,Amebic balanitis|Amebic vesiculitis|Amebic vulvovaginitis
A06.89,Other amebic infections,A06.8,5,Amebic appendicitis|Amebic splenic abscess
A06.9,"Amebiasis, unspecified",A06,4,
A07,Other protozoal intestinal diseases,SECTION_A00-A09,3,
A07.0,Balantidiasis,A07,4,Balantidial dysentery
A07.1,Giardiasis [lambliasis],A07,4,
A07.2,Cryptosporidiosis,A07,4,
A07.3,Isosporiasis,A07,4,Infection due to Isospora belli and Isospora hominis|Intestinal coccidiosis|Isosporosis
A07.4,Cyclosporiasis,A07,4,
A07.8,Other specified protozoal intestinal diseases,A07,4,Intestinal microsporidiosis|Intestinal trichomoniasis|Sarcocystosis|Sarcosporidiosis
A07.9,"Protozoal intestinal disease, unspecified",A07,4,Flagellate diarrhea|Protozoal colitis|Protozoal diarrhea|Protozoal dysentery
A08,Viral and other specified intestinal infections,SECTION_A00-A09,3,
A08.0,Rotaviral enteritis,A08,4,
A08.1,Acute gastroenteropathy due to Norwalk agent and other small round viruses,A08,4,
A08.11,Acute gastroenteropathy due to Norwalk agent,A08.1,5,Acute gastroenteropathy due to Norovirus|Acute gastroenteropathy due to Norwalk-like agent
A08.19,Acute gastroenteropathy due to other small round viruses,A08.1,5,Acute gastroenteropathy due to small round virus [SRV] NOS
A08.2,Adenoviral enteritis,A08,4,
A08.3,Other viral enteritis,A08,4,
A08.31,Calicivirus enteritis,A08.3,5,
A08.32,Astrovirus enteritis,A08.3,5,
A08.39,Other viral enteritis,A08.3,5,Coxsackie virus enteritis|Echovirus enteritis|Enterovirus enteritis NEC|Torovirus enteritis
A08.4,"Viral intestinal infection, unspecified",A08,4,Viral enteritis NOS|Viral gastroenteritis NOS|Viral gastroenteropathy NOS|viêm dạ dày ruột do virus|viêm dạ dày ruột virus|viêm ruột do virus
A08.8,Other specified intestinal infections,A08,4,
A09,"Infectious gastroenteritis and colitis, unspecified",SECTION_A00-A09,3,Infectious colitis NOS|Infectious enteritis NOS|Infectious gastroenteritis NOS
SECTION_A15-A19,Tuberculosis (A15-A19),CHAPTER_1,2,
A15,Respiratory tuberculosis,SECTION_A15-A19,3,
A15.0,Tuberculosis of lung,A15,4,Tuberculous bronchiectasis|Tuberculous fibrosis of lung|Tuberculous pneumonia|Tuberculous pneumothorax
A15.4,Tuberculosis of intrathoracic lymph nodes,A15,4,Tuberculosis of hilar lymph nodes|Tuberculosis of mediastinal lymph nodes|Tuberculosis of tracheobronchial lymph nodes
A15.5,"Tuberculosis of larynx, trachea and bronchus",A15,4,Tuberculosis of bronchus|Tuberculosis of glottis|Tuberculosis of larynx|Tuberculosis of trachea
A15.6,Tuberculous pleurisy,A15,4,Tuberculosis of pleura Tuberculous empyema
A15.7,Primary respiratory tuberculosis,A15,4,
A15.8,Other respiratory tuberculosis,A15,4,Mediastinal tuberculosis|Nasopharyngeal tuberculosis|Tuberculosis of nose|Tuberculosis of sinus [any nasal]
A15.9,Respiratory tuberculosis unspecified,A15,4,
A17,Tuberculosis of nervous system,SECTION_A15-A19,3,
A17.0,Tuberculous meningitis,A17,4,Tuberculosis of meninges (cerebral)(spinal)|Tuberculous leptomeningitis
A17.1,Meningeal tuberculoma,A17,4,Tuberculoma of meninges (cerebral) (spinal)
A17.8,Other tuberculosis of nervous system,A17,4,
A17.81,Tuberculoma of brain and spinal cord,A17.8,5,Tuberculous abscess of brain and spinal cord
A17.82,Tuberculous meningoencephalitis,A17.8,5,Tuberculous myelitis
A17.83,Tuberculous neuritis,A17.8,5,Tuberculous mononeuropathy
A17.89,Other tuberculosis of nervous system,A17.8,5,Tuberculous polyneuropathy
A17.9,"Tuberculosis of nervous system, unspecified",A17,4,
A18,Tuberculosis of other organs,SECTION_A15-A19,3,
A18.0,Tuberculosis of bones and joints,A18,4,
A18.01,Tuberculosis of spine,A18.0,5,Pott's disease or curvature of spine|Tuberculous arthritis|Tuberculous osteomyelitis of spine|Tuberculous spondylitis
A18.02,Tuberculous arthritis of other joints,A18.0,5,Tuberculosis of hip (joint)|Tuberculosis of knee (joint)
A18.03,Tuberculosis of other bones,A18.0,5,Tuberculous mastoiditis|Tuberculous osteomyelitis
A18.09,Other musculoskeletal tuberculosis,A18.0,5,Tuberculous myositis|Tuberculous synovitis|Tuberculous tenosynovitis
A18.1,Tuberculosis of genitourinary system,A18,4,
A18.10,"Tuberculosis of genitourinary system, unspecified",A18.1,5,
A18.11,Tuberculosis of kidney and ureter,A18.1,5,
A18.12,Tuberculosis of bladder,A18.1,5,
A18.13,Tuberculosis of other urinary organs,A18.1,5,Tuberculous urethritis
A18.14,Tuberculosis of prostate,A18.1,5,
A18.15,Tuberculosis of other male genital organs,A18.1,5,
A18.16,Tuberculosis of cervix,A18.1,5,
A18.17,Tuberculous female pelvic inflammatory disease,A18.1,5,Tuberculous endometritis|Tuberculous oophoritis and salpingitis
A18.18,Tuberculosis of other female genital organs,A18.1,5,Tuberculous ulceration of vulva
A18.2,Tuberculous peripheral lymphadenopathy,A18,4,Tuberculous adenitis
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",A18,4,
A18.31,Tuberculous peritonitis,A18.3,5,Tuberculous ascites
A18.32,Tuberculous enteritis,A18.3,5,Tuberculosis of anus and rectum|Tuberculosis of intestine (large) (small)
A18.39,Retroperitoneal tuberculosis,A18.3,5,Tuberculosis of mesenteric glands|Tuberculosis of retroperitoneal (lymph glands)
A18.4,Tuberculosis of skin and subcutaneous tissue,A18,4,"Erythema induratum, tuberculous|Lupus exedens|Lupus vulgaris NOS|Lupus vulgaris of eyelid|Scrofuloderma|Tuberculosis of external ear"
A18.5,Tuberculosis of eye,A18,4,
A18.50,"Tuberculosis of eye, unspecified",A18.5,5,
A18.51,Tuberculous episcleritis,A18.5,5,
A18.52,Tuberculous keratitis,A18.5,5,Tuberculous interstitial keratitis|Tuberculous keratoconjunctivitis (interstitial) (phlyctenular)
A18.53,Tuberculous chorioretinitis,A18.5,5,
A18.54,Tuberculous iridocyclitis,A18.5,5,
A18.59,Other tuberculosis of eye,A18.5,5,Tuberculous conjunctivitis
A18.6,Tuberculosis of (inner) (middle) ear,A18,4,Tuberculous otitis media
A18.7,Tuberculosis of adrenal glands,A18,4,Tuberculous Addison's disease
A18.8,Tuberculosis of other specified organs,A18,4,
A18.81,Tuberculosis of thyroid gland,A18.8,5,
A18.82,Tuberculosis of other endocrine glands,A18.8,5,Tuberculosis of pituitary gland|Tuberculosis of thymus gland
A18.83,"Tuberculosis of digestive tract organs, not elsewhere classified",A18.8,5,
A18.84,Tuberculosis of heart,A18.8,5,Tuberculous cardiomyopathy|Tuberculous endocarditis|Tuberculous myocarditis|Tuberculous pericarditis
A18.85,Tuberculosis of spleen,A18.8,5,
A18.89,Tuberculosis of other sites,A18.8,5,Tuberculosis of muscle|Tuberculous cerebral arteritis
A19,Miliary tuberculosis,SECTION_A15-A19,3,
A19.0,Acute miliary tuberculosis of a single specified site,A19,4,
A19.1,Acute miliary tuberculosis of multiple sites,A19,4,
A19.2,"Acute miliary tuberculosis, unspecified",A19,4,
A19.8,Other miliary tuberculosis,A19,4,
A19.9,"Miliary tuberculosis, unspecified",A19,4,
SECTION_A20-A28,Certain zoonotic bacterial diseases (A20-A28),CHAPTER_1,2,
A20,Plague,SECTION_A20-A28,3,
A20.0,Bubonic plague,A20,4,
A20.1,Cellulocutaneous plague,A20,4,
A20.2,Pneumonic plague,A20,4,
A20.3,Plague meningitis,A20,4,
A20.7,Septicemic plague,A20,4,
A20.8,Other forms of plague,A20,4,Abortive plague|Asymptomatic plague|Pestis minor
A20.9,"Plague, unspecified",A20,4,
A21,Tularemia,SECTION_A20-A28,3,
A21.0,Ulceroglandular tularemia,A21,4,
A21.1,Oculoglandular tularemia,A21,4,Ophthalmic tularemia
A21.2,Pulmonary tularemia,A21,4,
A21.3,Gastrointestinal tularemia,A21,4,Abdominal tularemia
A21.7,Generalized tularemia,A21,4,
A21.8,Other forms of tularemia,A21,4,
A21.9,"Tularemia, unspecified",A21,4,
A22,Anthrax,SECTION_A20-A28,3,
A22.0,Cutaneous anthrax,A22,4,Malignant carbuncle|Malignant pustule
A22.1,Pulmonary anthrax,A22,4,Inhalation anthrax|Ragpicker's disease|Woolsorter's disease
A22.2,Gastrointestinal anthrax,A22,4,
A22.7,Anthrax sepsis,A22,4,
A22.8,Other forms of anthrax,A22,4,Anthrax meningitis
A22.9,"Anthrax, unspecified",A22,4,
A23,Brucellosis,SECTION_A20-A28,3,
A23.0,Brucellosis due to Brucella melitensis,A23,4,
A23.1,Brucellosis due to Brucella abortus,A23,4,
A23.2,Brucellosis due to Brucella suis,A23,4,
A23.3,Brucellosis due to Brucella canis,A23,4,
A23.8,Other brucellosis,A23,4,
A23.9,"Brucellosis, unspecified",A23,4,
A24,Glanders and melioidosis,SECTION_A20-A28,3,
A24.0,Glanders,A24,4,Infection due to Pseudomonas mallei|Malleus
A24.1,Acute and fulminating melioidosis,A24,4,Melioidosis pneumonia|Melioidosis sepsis
A24.2,Subacute and chronic melioidosis,A24,4,
