code,name,parent_code,level
ROOT,ICD-10 Root,,0
E,Endocrine nutritional and metabolic diseases,ROOT,1
E10-E14,Diabetes mellitus,E,2
E10,Type 1 diabetes mellitus,E10-E14,3
E10.9,Type 1 diabetes mellitus without complications,E10,4
E11,Type 2 diabetes mellitus,E10-E14,3
E11.9,Type 2 diabetes mellitus without complications,E11,4
E11.65,Type 2 diabetes mellitus with hyperglycemia,E11,4
K,Diseases of the digestive system,ROOT,1
K20-K31,Diseases of esophagus stomach and duodenum,K,2
K21,Gastro-esophageal reflux disease,K20-K31,3
K21.0,Gastro-esophageal reflux disease with esophagitis,K21,4
K21.9,Gastro-esophageal reflux disease without esophagitis,K21,4
J,Diseases of the respiratory system,ROOT,1
J40-J47,Chronic lower respiratory diseases,J,2
J45,Asthma,J40-J47,3
J45.9,Asthma unspecified,J45,4
R,Symptoms signs and abnormal clinical findings,ROOT,1
R00-R09,Symptoms and signs involving circulatory and respiratory systems,R,2
R05,Cough,R00-R09,3
R05.9,Cough unspecified,R05,4
